Description,Manufacturer,Man. Part #,Distributor,Dist. Part #,Link,Unit Price (@ 1),Unit Price (@ 1000),Quantity,Cost (@ 1),Cost (@ 1000)
USB RS232 Interface IC,FTDI,FT232RL ,Mouser,895-FT232RL,https://www.mouser.com/ProductDetail/FTDI/FT232RL-REEL?qs=sGAEpiMZZMutXGli8Ay4kP5mehck65FINgd%2FGnbsy6g%3D,$4.50 ,$2.65 ,1,$4.50 ,2650.00 
Precision Transimpedance Amp,Texas Instruments,OPA2381AIDGKR,Mouser,595-OPA2381AIDGKR,https://www.mouser.com/ProductDetail/Texas-Instruments/OPA2381AIDGKR?qs=sGAEpiMZZMuEBu2IkGob7mkjoD7K%252BZ9DIIYe3xZnAnI%3D,$2.68 ,$1.41 ,1,$2.68 ,1410.00 
IR Photodiode,Wurth Elektronik,1541201EEA400,Mouser,710-1541201EEA400,https://www.mouser.com/ProductDetail/Wurth-Elektronik/1541201EEA400?qs=sGAEpiMZZMtWNtIk7yMEsZQSjt2jgOZwp2em9TE3lq2ypf0ZCPeNrw%3D%3D,$0.54 ,$0.33 ,1,$0.54 ,$330.00 
IR LED,Stanley Electric,TAN1105W-TR,Mouser,327-TAN1105WTR,https://www.mouser.com/ProductDetail/Stanley-Electric/TAN1105W-TR?qs=sGAEpiMZZMvAL21a%2FDhxMn4m4NxZkvurTt1J9C7uE6IhjI4NcQciSQ%3D%3D,$0.37 ,$0.12 ,2,$0.74 ,$240.00 
NPN BJT,ON Semiconductor,BC850CLT1G,Mouser,863-BC850CLT1G,https://www.mouser.com/ProductDetail/ON-Semiconductor/BC850CLT1G?qs=sGAEpiMZZMshyDBzk1%2FWi%2FPUgtclNldlSy71XeSFIHQ%3D,$0.10 ,$0.02 ,2,$0.20 ,$40.00 
100nF capacitor 0603,Wurth Elektronik,88-5012105016,Mouser,710-885012105016,https://www.mouser.com/ProductDetail/Wurth-Elektronik/885012105016?qs=sGAEpiMZZMs0AnBnWHyRQEGbLOF2VP1iQHTtW%252BsF6uiqVsWNN5qQVg%3D%3D,$0.10 ,Not Available,1,$0.10 ,Not Available
4.7uF capacitor 0805,KEMET,C0805C475M3RACAUTO,Mouser,80-C0805C475M3RAUTO,https://www.mouser.com/ProductDetail/KEMET/C0805C475M3RACAUTO?qs=sGAEpiMZZMs0AnBnWHyRQNStjhAUP4u8TISXXc6h26jhkMlqb6M4dA%3D%3D,$0.71 ,$0.23 ,1,$0.71 ,$230.00 
0805 Green LED,Wurth Elektronik,150080GS75000,Mouser ,710-150080GS75000,https://www.mouser.com/ProductDetail/Wurth-Elektronik/150080GS75000?qs=sGAEpiMZZMseGfSY3csMkWdJa7STmGtdxLVWEDoSWxG0F2GTBV6kRA%3D%3D,$0.18 ,Not Available,1,$0.18 ,Not Available
0805 Red LED,Kingbright,"
APTD2012LSURCK",Mouser,604-APTD2012LSURCK,https://www.mouser.com/ProductDetail/Kingbright/APTD2012LSURCK?qs=sGAEpiMZZMseGfSY3csMkdgyOOAg6kv2HqsweE2wtPptR%252BT73RwchA%3D%3D,$0.38 ,$0.10 ,1,$0.38 ,$100.00 
100 Ohm resistor 0603,TE Connectivity/ Holsworthy,CRGP0603F100R,Mouser,279-CRGP0603F100R,,$0.10 ,$0.02 ,2,$0.20 ,$42.00 
1.5K Ohm resistor 0603,Yageo,AC2512FK-071K5L,Mouser,603-AC2512FK-071K5L,,$0.54 ,$0.10 ,1,$0.54 ,$96.00 
USB Connector,Molex,67503-1020,Mouser,538-67503-1020,https://www.mouser.com/ProductDetail/Molex/67503-1020?qs=7zcQ9RRVJlhHWuXYKEhKMg%3D%3D,$0.92 ,$0.54 ,1,$0.92 ,$540.00 
4.7K Ohm resistor 0603,Vishay/ Dale,CRCW06034K70FKEA,Mouser,71-CRCW0603-4.7K-E3,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW06034K70FKEA?qs=sGAEpiMZZMvdGkrng054tw79ugaueG8BNL0oOJ%2FY4mQ%3D,$0.10 ,$0.01 ,2,$0.20 ,$10.00 
200 ohm resistor 0603,KOA Speer,RN73H1JTTD2000D25,Mouser,660-RN73H1JTD2000D25,https://www.mouser.com/ProductDetail/KOA-Speer/RN73H1JTTD2000D25?qs=sGAEpiMZZMvdGkrng054t2OD5fq%252B3fwXVEGvoA0uR8U%3D,$0.40 ,$0.16 ,2,$0.80 ,$326.00 
0805 Blue LED,Dialight,599-0191-007F,Mouser ,645-599-0191-007F,https://www.mouser.com/ProductDetail/Dialight/599-0191-007F?qs=sGAEpiMZZMseGfSY3csMkdgyOOAg6kv2IyVGQW31sv0UvUh66hBbrQ%3D%3D,$0.57 ,$0.14 ,1,$0.57 ,$144.00 
1M resistor 0603,Vishay/ Dale,RCS06031M00FKEA,Mouser ,71-RCS06031M00FKEA,https://www.mouser.com/ProductDetail/Vishay-Dale/RCS06031M00FKEA?qs=sGAEpiMZZMvdGkrng054t5h1zTYPh4vh3DY0wsQWbBkcKz%252BWiLNbpw%3D%3D,$0.15 ,$0.02 ,2,$0.30 ,$38.00 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,$13.56 ,"$6,196.00 "
